年,縣市,新增通訊處數,累計通訊處數,年底人口,土地面積_km2,出生數,死亡數,戶數,納稅單位_戶,綜合所得總額_千元,人口密度_人每km2,平均戶量,粗出生率_千分比,粗死亡率_千分比,自然增加率_千分比,綜合所得平均數_千元,綜合所得中位數_千元,平均每戶消費支出_元,每萬人通訊處數
90,臺東縣,0,13,,,,,,,,,,,,,,,429335,
90,花蓮縣,0,12,,,,,,,,,,,,,,,577981,
90,苗栗縣,0,18,,,,,,,,,,,,,,,596454,
90,連江縣,0,0,,,,,,,,,,,,,,,,
90,金門縣,0,3,,,,,,,,,,,,,,,,
90,雲林縣,1,15,,,,,,,,,,,,,,,506641,
90,高雄市,6,88,,,,,,,,,,,,,,,582764,
91,南投縣,0,17,,,,,,,,,,,,,,,509828,
91,嘉義市,0,13,,,,,,,,,,,,,,,659543,
91,嘉義縣,0,7,,,,,,,,,,,,,,,515759,
91,基隆市,0,9,,,,,,,,,,,,,,,640591,
91,宜蘭縣,0,17,,,,,,,,,,,,,,,556487,
91,屏東縣,1,25,,,,,,,,,,,,,,,527833,
91,彰化縣,1,39,,,,,,,,,,,,,,,587789,
91,新北市,1,76,,,,,,,,,,,,,,,721828,
91,新竹市,0,14,,,,,,,,,,,,,,,848037,
91,新竹縣,0,12,,,,,,,,,,,,,,,659592,
91,桃園市,2,60,,,,,,,,,,,,,,,728084,
91,澎湖縣,0,2,,,,,,,,,,,,,,,421645,
91,臺中市,4,98,,,,,,,,,,,,,,,667721,
91,臺北市,3,147,,,,,,,,,,,,,,,951978,
91,臺南市,0,57,,,,,,,,,,,,,,,572884,
91,臺東縣,0,13,,,,,,,,,,,,,,,446254,
91,花蓮縣,0,12,,,,,,,,,,,,,,,540780,
91,苗栗縣,0,18,,,,,,,,,,,,,,,608569,
91,連江縣,0,0,,,,,,,,,,,,,,,,
91,金門縣,0,3,,,,,,,,,,,,,,,,
91,雲林縣,0,15,,,,,,,,,,,,,,,503445,
91,高雄市,4,92,,,,,,,,,,,,,,,583099,
92,南投縣,1,18,,,,,,,,,,,,,,,532985,
92,嘉義市,0,13,,,,,,,,,,,,,,,599717,
92,嘉義縣,0,7,,,,,,,,,,,,,,,517287,
92,基隆市,0,9,,,,,,,,,,,,,,,630493,
92,宜蘭縣,0,17,,,,,,,,,,,,,,,610276,
92,屏東縣,1,26,,,,,,,,,,,,,,,532473,
92,彰化縣,0,39,,,,,,,,,,,,,,,598416,
92,新北市,2,78,,,,,,,,,,,,,,,706525,
92,新竹市,2,16,,,,,,,,,,,,,,,844370,
92,新竹縣,1,13,,,,,,,,,,,,,,,666904,
92,桃園市,0,60,,,,,,,,,,,,,,,707342,
92,澎湖縣,0,2,,,,,,,,,,,,,,,453132,
92,臺中市,2,100,,,,,,,,,,,,,,,673311,
92,臺北市,6,153,,,,,,,,,,,,,,,914067,
92,臺南市,1,58,,,,,,,,,,,,,,,583579,
92,臺東縣,0,13,,,,,,,,,,,,,,,402236,
92,花蓮縣,0,12,,,,,,,,,,,,,,,547558,
92,苗栗縣,1,19,,,,,,,,,,,,,,,595922,
92,連江縣,0,0,,,,,,,,,,,,,,,,
92,金門縣,0,3,,,,,,,,,,,,,,,,
92,雲林縣,1,16,,,,,,,,,,,,,,,497345,
92,高雄市,1,93,,,,,,,,,,,,,,,588440,
93,南投縣,0,18,,,,,,,,,,,,,,,565920,
93,嘉義市,0,13,,,,,,,,,,,,,,,554657,
93,嘉義縣,1,8,,,,,,,,,,,,,,,529047,
93,基隆市,0,9,,,,,,,,,,,,,,,700769,
